,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
810051,19:24.7,00:1c:10:f7:cd:bc,fc:6b:f0:0a:c3:43,47.91.156.175,192.168.1.111,12306,40100.0,,,,
810053,19:24.7,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810164,19:29.2,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
810200,19:29.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810208,19:29.7,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810224,19:29.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810229,19:30.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810305,19:33.9,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
810361,19:36.0,fc:6b:f0:0a:c3:43,00:1c:10:f7:cd:bc,192.168.1.223,233.199.189.210,12850,48406.0,,,,
810389,19:37.0,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810391,19:37.0,00:1c:10:f7:cd:bc,fc:6b:f0:0a:c3:43,120.77.100.46,192.168.1.111,12306,40099.0,,,,
810393,19:37.0,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810426,19:38.7,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
810457,19:41.0,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900.0,1900.0,,
810459,19:41.1,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900.0,1900.0,,
810461,19:41.2,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900.0,1900.0,,
810463,19:41.3,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900.0,1900.0,,
810465,19:41.4,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900.0,1900.0,,
810466,19:41.5,00:17:88:77:35:80,01:00:5e:7f:ff:fa,192.168.1.119,239.255.255.250,,,1900.0,1900.0,,
