frame.time,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,
May-05, 2019 18:57:17.091719000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.092322000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.092409000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.096277000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.096352000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.096399000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.097953000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.101688000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.102327000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.102414000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.102841000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.102983000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.103032000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.107494000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.107561000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.120277000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.120369000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.125262000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.125403000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,80:25:dc:b8:cd:bc,,,,,,
May-05, 2019 18:57:17.125452000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.140290000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.140382000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.143700000 Jerusalem Daylight Time,6c:fd:79:53:79:0b,00:1c:10:f7:cd:bc,,,,,,
May-05, 2019 18:57:17.143768000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.158304000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.158395000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.184911000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.185243000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.185318000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.187009000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.187101000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.190449000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.191073000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.191160000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.192544000 Jerusalem Daylight Time,a0:f4:14:ee:0e:49,6b:78:85:f7:6d:af,,,,,,
May-05, 2019 18:57:17.192612000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.202828000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.202914000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.202962000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.203010000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.203692000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.203779000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.204835000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.204927000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.220025000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.220108000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.221690000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.222322000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.222410000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.227648000 Jerusalem Daylight Time,6c:6a:fb:e9:86:36,3a:d5:4e:a1:90:44,,,,,,
May-05, 2019 18:57:17.265390000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.265457000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.265499000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.265542000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.302777000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.322994000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.330050000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.347915000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,ff:ff:ff:ff:ff:ff,,,,,,
